2026-07-09 08:23:05,643 [INFO] ============================================================
2026-07-09 08:23:05,643 [INFO] PHASE 2: Glyph-Klassifikation via phash-Clustering
2026-07-09 08:23:05,643 [INFO] Start: 2026-07-09T08:23:05.643779
2026-07-09 08:23:05,643 [INFO] ============================================================
2026-07-09 08:23:05,739 [INFO]   p01: total= 512, glyph= 65, latin= 10, digit=238, large= 2, unk=197
2026-07-09 08:23:05,804 [INFO]   p02: total= 492, glyph= 61, latin= 10, digit=261, large= 1, unk=159
2026-07-09 08:23:05,869 [INFO]   p03: total= 552, glyph= 61, latin=  7, digit=355, large= 0, unk=129
2026-07-09 08:23:05,937 [INFO]   p04: total= 641, glyph= 93, latin= 10, digit=314, large= 0, unk=224
2026-07-09 08:23:05,981 [INFO]   p05: total= 143, glyph= 41, latin=  1, digit= 6, large= 0, unk= 95
2026-07-09 08:23:06,025 [INFO]   p06: total= 154, glyph= 41, latin=  1, digit= 7, large= 0, unk=105
2026-07-09 08:23:06,073 [INFO]   p07: total= 272, glyph= 51, latin=  2, digit=39, large= 0, unk=180
2026-07-09 08:23:06,115 [INFO]   p08: total= 191, glyph= 38, latin=  1, digit=42, large= 0, unk=110
2026-07-09 08:23:06,190 [INFO]   p09: total= 640, glyph= 64, latin= 22, digit=298, large= 0, unk=256
2026-07-09 08:23:06,259 [INFO]   p10: total= 644, glyph= 99, latin=  7, digit=337, large= 0, unk=201
2026-07-09 08:23:06,325 [INFO]   p11: total= 564, glyph=102, latin=  8, digit=38, large= 2, unk=414
2026-07-09 08:23:06,395 [INFO]   p12: total= 626, glyph=113, latin=  1, digit=47, large= 3, unk=462
2026-07-09 08:23:06,466 [INFO]   p13: total= 630, glyph=115, latin= 12, digit=31, large= 8, unk=464
2026-07-09 08:23:06,528 [INFO]   p14: total= 531, glyph=124, latin= 15, digit=14, large= 0, unk=378
2026-07-09 08:23:06,594 [INFO]   p15: total= 588, glyph=131, latin=  9, digit=27, large= 0, unk=421
2026-07-09 08:23:06,661 [INFO]   p16: total= 542, glyph=105, latin= 34, digit=50, large= 0, unk=353
2026-07-09 08:23:06,695 [INFO]   p17: total=  30, glyph=  0, latin=  1, digit=23, large= 0, unk=  6
2026-07-09 08:23:06,729 [INFO]   p18: total=  33, glyph=  0, latin=  1, digit=21, large= 0, unk= 11
2026-07-09 08:23:06,765 [INFO]   p19: total=  55, glyph=  1, latin=  1, digit=40, large= 1, unk= 12
2026-07-09 08:23:06,801 [INFO]   p20: total=  46, glyph=  2, latin=  8, digit=20, large= 1, unk= 15
2026-07-09 08:23:06,837 [INFO]   p21: total=  84, glyph=  9, latin=  9, digit=46, large= 0, unk= 20
2026-07-09 08:23:06,874 [INFO]   p22: total=  75, glyph=  0, latin=  0, digit=50, large= 0, unk= 25
2026-07-09 08:23:06,954 [INFO]   p23: total= 726, glyph=  3, latin=  2, digit=444, large= 0, unk=277
2026-07-09 08:23:06,954 [INFO] 
2026-07-09 08:23:06,954 [INFO] ✓ Glyph-Klassifikation: 1319 Glyphen, 172 Latein-Komp. total
